"","disp.disp_id","disp.client_id","disp.account_id","disp.type","account.district_id_branch","account.frequency","account.date","client.district_id_client","client.gender","client.dob","client.age","loan.date","loan.amount","loan.duration","loan.monthly_rate","loan.status","loan.has_loan","card.type","card.issued","card.has_card","order.sum_amount","order.household","order.leasing","order.loan","order.insurance","order.uncategorized","order.has_orders","district.avg_salary","district.urban_ratio","district.enterpren_rate"
"1",1,1,1,"owner",18,"monthly_issuance",1995-03-24,18,"female",1970-12-13,29,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2452,1,0,0,0,0,TRUE,8968,65.3,131
"2",2,2,2,"owner",1,"monthly_issuance",1993-02-26,1,"male",1945-02-04,54,1994-01-05,80952,24,3373,"finished_ok",TRUE,NA,NA,FALSE,10638,1,0,1,0,0,TRUE,12541,100,167
"3",4,4,3,"owner",5,"monthly_issuance",1997-07-07,5,"male",1956-12-01,43,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,5001,1,0,0,1,1,TRUE,9307,51.4,118
"4",6,6,4,"owner",12,"monthly_issuance",1996-02-21,12,"male",1919-09-22,80,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3363,1,0,0,0,0,TRUE,8754,58,137
"5",7,7,5,"owner",15,"monthly_issuance",1997-05-30,15,"male",1929-01-25,70,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2668,1,0,0,0,0,TRUE,9045,51.9,124
"6",8,8,6,"owner",51,"monthly_issuance",1994-09-27,51,"female",1938-02-21,61,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3954,1,0,0,0,0,TRUE,8541,70.5,131
"7",9,9,7,"owner",60,"monthly_issuance",1996-11-24,60,"male",1935-10-16,64,NA,NA,NA,NA,NA,FALSE,"gold",1998-10-16,TRUE,4880,1,0,0,0,0,TRUE,8441,51.9,115
"8",10,10,8,"owner",57,"monthly_issuance",1995-09-21,57,"male",1943-05-01,56,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,9324,1,0,0,0,1,TRUE,8720,48,116
"9",12,12,9,"owner",70,"monthly_issuance",1993-01-27,40,"male",1981-02-20,18,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,9317,85.3,97
"10",13,13,10,"owner",54,"monthly_issuance",1996-08-28,54,"female",1974-05-29,25,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,8377,1,1,0,0,0,TRUE,9897,100,140
"11",14,14,11,"owner",76,"monthly_issuance",1995-10-10,76,"female",1942-06-22,57,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2132,1,0,0,0,0,TRUE,8369,51.2,107
"12",15,15,12,"owner",21,"monthly_issuance",1997-04-15,21,"female",1918-08-28,81,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3592,1,0,0,0,0,TRUE,9104,67,123
"13",17,17,13,"owner",76,"monthly_issuance",1997-08-17,76,"male",1934-10-13,65,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2444,1,0,0,0,0,TRUE,8369,51.2,107
"14",19,19,14,"owner",47,"monthly_issuance",1996-11-27,47,"male",1942-12-28,57,NA,NA,NA,NA,NA,FALSE,"classic",1998-03-13,TRUE,3629,1,0,0,0,0,TRUE,9538,72.8,111
"15",20,20,15,"owner",70,"monthly_issuance",1993-10-02,46,"male",1979-01-04,20,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3072,1,0,0,0,0,TRUE,8369,73.5,117
"16",21,21,16,"owner",12,"monthly_issuance",1997-09-23,12,"female",1952-10-29,47,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,8754,58,137
"17",22,22,17,"owner",1,"monthly_issuance",1997-01-08,1,"female",1969-10-11,30,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,4032,1,0,0,0,0,TRUE,12541,100,167
"18",24,24,18,"owner",43,"weekly_issuance",1993-05-26,43,"female",1939-07-29,60,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,9425,76.3,125
"19",25,25,19,"owner",21,"monthly_issuance",1995-04-07,21,"female",1939-04-23,60,1996-04-29,30276,12,2523,"finished_nok",TRUE,NA,NA,FALSE,2523,0,0,1,0,0,TRUE,9104,67,123
"20",26,26,20,"owner",74,"monthly_issuance",1996-08-24,74,"female",1969-04-20,30,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2003,1,0,0,0,0,TRUE,10673,100,100
"21",27,27,21,"owner",54,"monthly_issuance",1997-12-06,54,"female",1966-03-26,33,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,6276,1,0,0,0,0,TRUE,9897,100,140
"22",28,28,22,"owner",1,"monthly_issuance",1994-03-23,1,"male",1945-09-29,54,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,6352,1,0,0,0,0,TRUE,12541,100,167
"23",29,29,23,"owner",30,"monthly_issuance",1993-05-22,30,"female",1951-09-11,48,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,5807,1,0,0,0,0,TRUE,9650,81.8,100
"24",30,30,24,"owner",74,"monthly_issuance",1996-12-05,74,"female",1957-10-09,42,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,7862,1,0,0,0,1,TRUE,10673,100,100
"25",31,31,25,"owner",68,"monthly_issuance",1996-07-28,68,"male",1962-02-09,37,1997-12-08,30276,12,2523,"finished_ok",TRUE,NA,NA,FALSE,10614,1,0,1,1,1,TRUE,9893,57.2,96
"26",32,32,26,"owner",52,"monthly_issuance",1993-08-08,52,"male",1980-07-28,19,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,10387,1,0,0,0,0,TRUE,8363,61.9,108
"27",33,33,27,"owner",73,"monthly_issuance",1993-09-26,73,"female",1948-12-04,51,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,4054,1,0,0,0,0,TRUE,8746,56.4,90
"28",36,36,29,"owner",7,"monthly_issuance",1994-11-24,7,"female",1978-07-17,21,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,7708,1,0,0,1,1,TRUE,9920,63.4,130
"29",38,38,30,"owner",36,"monthly_issuance",1995-03-04,36,"female",1973-07-23,26,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2480,0,1,0,0,0,TRUE,9198,85.2,131
"30",39,39,31,"owner",68,"monthly_issuance",1994-04-27,68,"male",1968-01-25,31,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,10202,1,0,0,0,0,TRUE,9893,57.2,96
"31",40,40,32,"owner",5,"monthly_issuance",1995-08-28,5,"female",1957-01-22,42,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,9307,51.4,118
"32",41,41,33,"owner",22,"monthly_issuance",1993-08-26,22,"male",1968-08-27,31,NA,NA,NA,NA,NA,FALSE,"gold",1995-09-03,TRUE,3892,1,0,0,0,0,TRUE,8620,52.4,100
"33",42,42,34,"owner",67,"weekly_issuance",1993-09-17,68,"male",1935-08-17,64,NA,NA,NA,NA,NA,FALSE,"classic",1998-11-26,TRUE,8051,1,1,0,0,1,TRUE,9893,57.2,96
"34",43,43,35,"owner",75,"monthly_issuance",1993-07-07,75,"male",1920-10-28,79,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2384,1,0,0,0,0,TRUE,8819,64.6,99
"35",44,44,36,"owner",1,"monthly_issuance",1993-07-01,38,"female",1977-01-11,22,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,4069,1,0,0,0,0,TRUE,8965,59.8,104
"36",45,45,37,"owner",20,"monthly_issuance",1997-08-18,20,"male",1952-08-26,47,1998-10-14,318480,60,5308,"running_nok",TRUE,NA,NA,FALSE,10305,1,0,1,1,1,TRUE,8547,58.4,120
"37",46,46,38,"owner",19,"weekly_issuance",1997-08-08,19,"female",1940-01-30,59,1998-04-19,110736,48,2307,"running_ok",TRUE,NA,NA,FALSE,9666,1,0,1,1,1,TRUE,8402,52.7,120
"38",47,47,39,"owner",36,"monthly_issuance",1993-09-22,76,"male",1934-07-14,65,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3115,1,0,0,0,0,TRUE,8369,51.2,107
"39",48,48,40,"owner",64,"monthly_issuance",1993-10-25,16,"male",1940-02-09,59,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,4334,1,0,0,0,1,TRUE,8427,56.9,107
