"","decision_tree_card_prediction","disp.client_id","disp.account_id","disp.type","account.district_id_branch","account.frequency","account.date","client.district_id_client","client.gender","client.dob","client.age","loan.date","loan.amount","loan.duration","loan.monthly_rate","loan.status","loan.has_loan","card.type","card.issued","card.has_card","order.sum_amount","order.household","order.leasing","order.loan","order.insurance","order.uncategorized","order.has_orders","eng.balance_dev_1y_before_card","eng.balance_at_card_issuance","eng.balance_dev_after_card","eng.mean_trans_count_per_month","eng.median_relative_balance_dev_in_perc","credit_check_avg_income","credit_check","final_balance","risk_score","card_recommendation","loan_applicable","loan_recommendation"
"1","classic",1,1,"owner",18,"monthly_issuance",1995-03-24,18,"female",1970-12-13,29,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2452,1,0,0,0,0,TRUE,-8494.1,13466.5,0,5.17,2.81,3679,"failed",13466,-7,"no","no","no"
"2","classic",2,2,"owner",1,"monthly_issuance",1993-02-26,1,"male",1945-02-04,54,1994-01-05,80952,24,3373,"finished_ok",TRUE,NA,NA,FALSE,10638,1,0,1,0,0,TRUE,-24284.9,42628.1,0,5.38,5.71,20236,"gold",42628,373,"classic","no","next loan up to 130000"
"3","classic",4,3,"owner",5,"monthly_issuance",1997-07-07,5,"male",1956-12-01,43,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,5001,1,0,0,1,1,TRUE,15993.1,51096.1,0,4.42,0,NA,NA,51096,118,"classic","no","no"
"4","classic",6,4,"owner",12,"monthly_issuance",1996-02-21,12,"male",1919-09-22,80,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3363,1,0,0,0,0,TRUE,6920.4,33720.7,0,4.74,0,5553,"failed",33720,48,"no","no","no"
"5","classic",7,5,"owner",15,"monthly_issuance",1997-05-30,15,"male",1929-01-25,70,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2668,1,0,0,0,0,TRUE,1566.1,28088.3,0,4.51,0,NA,NA,28088,81,"no","no","no"
"6","classic",8,6,"owner",51,"monthly_issuance",1994-09-27,51,"female",1938-02-21,61,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3954,1,0,0,0,0,TRUE,1069.6,47668,0,5.19,0.985,6669,"failed",47668,67,"no","no","no"
"7","gold",9,7,"owner",60,"monthly_issuance",1996-11-24,60,"male",1935-10-16,64,NA,NA,NA,NA,NA,FALSE,"gold",1998-10-16,TRUE,4880,1,0,0,0,0,TRUE,21556.3,75343.4,-6847.89999999999,4.52,0,NA,"classic",68495,223,"keep gold","no","no"
"8","classic",10,8,"owner",57,"monthly_issuance",1995-09-21,57,"male",1943-05-01,56,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,9324,1,0,0,0,1,TRUE,4885,72617.2,0,5.53,0,20475,"gold",72617,384,"classic","yes","up to  230000"
"9","junior",12,9,"owner",70,"monthly_issuance",1993-01-27,40,"male",1981-02-20,18,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,-24293.1,23877.5,0,5.84,0.01,800,"failed",23877,-41,"no","no","no"
"10","classic",13,10,"owner",54,"monthly_issuance",1996-08-28,54,"female",1974-05-29,25,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,8377,1,1,0,0,0,TRUE,12440.9,59295.2,0,4.77,0,17686,"gold",59295,349,"classic","yes","up to  180000"
